actor_id,name,tmdb_id,headshot_url,popularity,notes,ui_status
,Linda Cardellini,1817,https://image.tmdb.org/t/p/w500/bcycvynDprC1rrhBNrnBjn5uOUd.jpg,9.228,,
,Matt Damon,1892,https://image.tmdb.org/t/p/w500/At3JgvaNeEN4Z4ESKlhhes85Xo3.jpg,9.2046,,
,Madelyn Cline,1642789,https://image.tmdb.org/t/p/w500/5bn1dx7IyOZpy6g1T9M4E7jXr9E.jpg,9.1975,,
,Demi Moore,3416,https://image.tmdb.org/t/p/w500/wApParZYBDi4yxekjfxjKEifJYh.jpg,9.1523,,
,Alokananda Guha,3618290,https://image.tmdb.org/t/p/w500/feXUlxIUgNU5tcXpP5W7UC4Be6n.jpg,9.1448,,
,Emilia Clarke,1223786,https://image.tmdb.org/t/p/w500/wb8VfDPGpyqcFltnRcJR1Wj3h4Z.jpg,8.9535,,
,Arielle Kebbel,20373,https://image.tmdb.org/t/p/w500/eFN9TTOFk4COQQsDSufChNd7GfP.jpg,8.9212,,
,Sandra Bullock,18277,https://image.tmdb.org/t/p/w500/2fv0tRKLzG7uBYLjTAW3fyhWEFS.jpg,8.9108,,
,Bayley Corman,1598741,https://image.tmdb.org/t/p/w500/cVpR8zdeQHG1S3E1TIbHQcmyCQG.jpg,8.876,,
,Tom Hardy,2524,https://image.tmdb.org/t/p/w500/d81K0RH8UX7tZj49tZaQhZ9ewH.jpg,8.8739,,
,Tiger Shroff,1338512,https://image.tmdb.org/t/p/w500/kgvll1RBCcDTs6KJZFDb291AuZb.jpg,8.8192,,
,Michelle Hunziker,41340,https://image.tmdb.org/t/p/w500/xhO9UdMcahyJ9RrxubX3DdAPVDt.jpg,8.8092,,
,Emma Watson,10990,https://image.tmdb.org/t/p/w500/mf0OANvWYSzU1d8yggrhyw8IbIz.jpg,8.7783,,
,Jack Black,70851,https://image.tmdb.org/t/p/w500/59IhgCtiWI5yTfzPhsjzg7GjCjm.jpg,8.7704,,
,Sky Arndt,3354787,https://image.tmdb.org/t/p/w500,6.5422,,
,Noah Fearnley,3210444,https://image.tmdb.org/t/p/w500/cJDTFKsgQoc7LM6IHFmAP1t9vDz.jpg,8.2712,,
,Sylvester Stallone,16483,https://image.tmdb.org/t/p/w500/gn3pDWthJqR0VDYGViGD3048og7.jpg,8.6246,,
,Rosemary Theby,145711,https://image.tmdb.org/t/p/w500/5vfVa2QJXqsVRnMFJWVur9YhNyN.jpg,5.43,,
,Shia LaBeouf,10959,https://image.tmdb.org/t/p/w500/egvlIdeizCkSkuHVoDuuduIThFA.jpg,8.1306,,
,Tamannaah Bhatia,85721,https://image.tmdb.org/t/p/w500/t4WYoKiFAyO1Rhjv7O03EKmJHp4.jpg,7.9947,,
,Dyessa Garcia,4095744,https://image.tmdb.org/t/p/w500/xak9L0fkIOkjSwJpz3SWLl94tVP.jpg,8.0518,,
,Zendaya,505710,https://image.tmdb.org/t/p/w500/3WdOloHpjtjL96uVOhFRRCcYSwq.jpg,7.3591,,
,Nicolas Cage,2963,https://image.tmdb.org/t/p/w500/y1RtezurZYveYkVNRht7CwEgSYY.jpg,7.356,,
,Roland Pertwee,929205,https://image.tmdb.org/t/p/w500/w95854ADL2xrLMj7EiGlwiUTl5a.jpg,5.443,,
,Prunella Scales,55643,https://image.tmdb.org/t/p/w500/uNpr52AXTBnz3U1cZReK17hwe60.jpg,8.5995,,
,Kaley Cuoco,53862,https://image.tmdb.org/t/p/w500/c01Ma8Jrr2OJ6uoikPwDK34Y8eK.jpg,7.9613,,
,Ali Larter,17303,https://image.tmdb.org/t/p/w500/5qaQFxx8Az83ycd4LHyQ39HXaEJ.jpg,8.262,,
,Sadie Sink,1590797,https://image.tmdb.org/t/p/w500/m9OyHAyOx56Pm3JruEBqh4p9XeX.jpg,8.0353,,
,Anya Taylor-Joy,1397778,https://image.tmdb.org/t/p/w500/qYNofOjlRke2MlJVihmJmEdQI4v.jpg,10.4345,,
,Mckenna Grace,1172108,https://image.tmdb.org/t/p/w500/mBJpXMfUX23NYVaKaR8jkndDmSQ.jpg,7.3912,,
,Meenakshi Dinesh,3302727,https://image.tmdb.org/t/p/w500/o0YtfGpdX0wozp2ASeW4pmveEuO.jpg,7.4884,,
,Sean Penn,2228,https://image.tmdb.org/t/p/w500/9glqNTVpFpdN1nFklKaHPUyCwR6.jpg,6.4092,,
